mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O2,2x,2020-03-08,8033.31,9644.07,20.05,-40.1,4.85,TP,4,2.0
RAW,O2,2x,2020-03-27,6359.11,7537.35,18.53,-37.06,9.51,SL,27,-1.0
RAW,O2,2x,2020-04-21,6841.37,7502.3,9.66,-19.32,6.83,SL,2,-1.0
RAW,O2,2x,2020-06-02,9518.04,8259.12,-13.23,0.0,5.45,INV,0,0
RAW,O2,2x,2020-06-02,9518.04,10588.12,11.24,-22.49,5.45,SL,55,-1.0
RAW,O2,2x,2020-06-02,9518.04,10460.12,9.9,-19.8,5.45,SL,55,-1.0
RAW,O2,2x,2020-06-02,9518.04,10901.12,14.53,-29.06,5.45,SL,55,-1.0
RAW,O2,2x,2020-07-04,9135.46,9495.68,3.94,-7.89,3.92,SL,18,-1.0
RAW,O2,2x,2020-07-27,11029.96,9757.0,-11.54,0.0,2.88,INV,0,0
RAW,O2,2x,2020-07-27,11029.96,11681.86,5.91,-11.82,2.88,SL,5,-1.0
RAW,O2,2x,2020-07-27,11029.96,11681.86,5.91,-11.82,2.88,SL,5,-1.0
RAW,O2,2x,2020-09-02,11388.54,12391.13,8.8,-17.61,3.56,SL,49,-1.0
RAW,O2,2x,2020-09-02,11388.54,12791.78,12.32,-24.64,3.56,SL,49,-1.0
RAW,O2,2x,2020-09-02,11388.54,12374.63,8.66,-17.32,3.56,SL,49,-1.0
RAW,O2,2x,2020-09-20,10920.28,11598.07,6.21,-12.41,3.86,SL,22,-1.0
RAW,O2,2x,2020-10-01,10619.13,11237.35,5.82,-11.64,3.71,SL,9,-1.0
RAW,O2,2x,2020-12-21,22719.71,12947.43,-43.01,0.0,4.35,INV,0,0
RAW,O2,2x,2020-12-21,22719.71,14445.1,-36.42,0.0,4.35,INV,0,0
RAW,O2,2x,2020-12-21,22719.71,21115.42,-7.06,0.0,4.35,INV,0,0
RAW,O2,2x,2020-12-21,22719.71,25522.42,12.34,-24.67,4.35,SL,5,-1.0
RAW,O2,2x,2021-01-31,33092.98,45009.98,36.01,-72.02,8.49,SL,8,-1.0
RAW,O2,2x,2021-01-31,33092.98,37934.98,14.63,-29.26,8.49,SL,4,-1.0
RAW,O2,2x,2021-03-06,48882.2,56438.39,15.46,-30.92,7.41,SL,4,-1.0
RAW,O2,2x,2021-04-03,57051.94,64812.85,13.6,-27.21,5.94,SL,11,-1.0
RAW,O2,2x,2021-04-03,57051.94,63168.85,10.72,-21.44,5.94,SL,10,-1.0
RAW,O2,2x,2021-05-04,53200.01,62230.72,16.98,-33.95,6.26,TP,15,2.0
RAW,O2,2x,2021-05-29,34605.15,46324.28,33.87,-67.73,12.49,SL,72,-1.0
RAW,O2,2x,2021-05-29,34605.15,46324.28,33.87,-67.73,12.49,SL,72,-1.0
RAW,O2,2x,2021-06-05,35513.2,44204.7,24.47,-48.95,11.32,SL,63,-1.0
RAW,O2,2x,2021-06-16,38349.01,43996.13,14.73,-29.45,9.53,SL,52,-1.0
RAW,O2,2x,2021-07-01,33504.69,38384.22,14.56,-29.13,9.91,SL,25,-1.0
RAW,O2,2x,2021-07-01,33504.69,39484.22,17.85,-35.69,9.91,SL,25,-1.0
RAW,O2,2x,2021-08-01,39845.44,44695.16,12.17,-24.34,6.2,SL,6,-1.0
RAW,O2,2x,2021-09-19,47241.75,50312.43,6.5,-13.0,5.03,TP,2,2.0
RAW,O2,2x,2021-09-19,47241.75,52668.43,11.49,-22.97,5.03,SL,17,-1.0
RAW,O2,2x,2021-09-19,47241.75,51011.63,7.98,-15.96,5.03,TP,2,2.0
RAW,O2,2x,2021-09-19,47241.75,51011.63,7.98,-15.96,5.03,TP,2,2.0
RAW,O2,2x,2021-10-08,53951.43,47420.65,-12.1,0.0,4.86,INV,0,0
RAW,O2,2x,2021-11-04,61395.01,67508.92,9.96,-19.92,4.73,SL,4,-1.0
RAW,O2,2x,2021-12-10,47140.54,55014.68,16.7,-33.41,6.79,TP,150,2.0
RAW,O2,2x,2021-12-27,50701.44,54218.96,6.94,-13.88,5.43,TP,9,2.0
RAW,O2,2x,2021-12-27,50701.44,54218.96,6.94,-13.88,5.43,TP,9,2.0
RAW,O2,2x,2022-01-17,42201.62,46432.17,10.02,-20.05,5.6,TP,7,2.0
RAW,O2,2x,2022-03-04,39148.66,47982.77,22.57,-45.13,6.26,SL,24,-1.0
RAW,O2,2x,2022-03-04,39148.66,47561.77,21.49,-42.98,6.26,SL,24,-1.0
RAW,O2,2x,2022-03-21,41002.25,49881.07,21.65,-43.31,5.34,TP,84,2.0
RAW,O2,2x,2022-04-22,39709.18,44329.68,11.64,-23.27,4.75,TP,17,2.0
RAW,O2,2x,2022-04-22,39709.18,44329.68,11.64,-23.27,4.75,TP,17,2.0
RAW,O2,2x,2022-05-18,28715.32,34547.87,20.31,-40.62,7.16,TP,175,2.0
RAW,O2,2x,2022-06-02,30452.62,34088.75,11.94,-23.88,6.01,TP,11,2.0
RAW,O2,2x,2022-06-09,30109.93,33064.78,9.81,-19.63,5.71,TP,4,2.0
RAW,O2,2x,2022-06-27,20742.56,23593.87,13.75,-27.49,8.4,SL,22,-1.0
RAW,O2,2x,2022-07-10,20862.47,23612.69,13.18,-26.37,7.3,SL,9,-1.0
RAW,O2,2x,2022-07-21,23152.19,25576.09,10.47,-20.94,6.28,TP,60,2.0
RAW,O2,2x,2022-08-01,23268.01,26221.59,12.69,-25.39,5.83,TP,99,2.0
RAW,O2,2x,2022-08-15,24094.82,26119.84,8.4,-16.81,4.99,TP,12,2.0
RAW,O2,2x,2022-09-13,20173.57,23747.93,17.72,-35.44,5.27,SL,134,-1.0
RAW,O2,2x,2022-10-19,19123.97,20937.32,9.48,-18.96,4.18,SL,7,-1.0
RAW,O2,2x,2022-10-19,19123.97,21026.46,9.95,-19.9,4.18,SL,10,-1.0
RAW,O2,2x,2022-11-20,16280.23,17688.35,8.65,-17.3,5.23,SL,23,-1.0
RAW,O2,2x,2022-11-28,16212.91,17321.93,6.84,-13.68,4.68,SL,3,-1.0
RAW,O2,2x,2022-12-28,16547.31,17739.05,7.2,-14.4,3.15,SL,14,-1.0
RAW,O2,2x,2023-01-17,21134.81,23939.23,13.27,-26.54,2.53,SL,12,-1.0
RAW,O2,2x,2023-02-21,24452.16,26219.33,7.23,-14.45,3.32,TP,16,2.0
RAW,O2,2x,2023-03-22,27250.97,30577.68,12.21,-24.42,4.08,SL,22,-1.0
RAW,O2,2x,2023-05-01,28068.26,30457.0,8.51,-17.02,3.81,SL,51,-1.0
RAW,O2,2x,2023-05-19,26880.26,28768.45,7.02,-14.05,3.7,SL,33,-1.0
RAW,O2,2x,2023-05-31,27210.35,29348.66,7.86,-15.72,3.37,SL,21,-1.0
RAW,O2,2x,2023-08-04,29113.99,31955.27,9.76,-19.52,2.61,SL,80,-1.0
RAW,O2,2x,2023-08-04,29113.99,30570.83,5.0,-10.01,2.61,TP,13,2.0
RAW,O2,2x,2023-10-03,27426.46,28113.36,2.5,-5.01,2.5,SL,2,-1.0
RAW,O2,2x,2023-10-03,27426.46,29209.79,6.5,-13.0,2.5,SL,13,-1.0
RAW,O2,2x,2023-10-28,34081.0,31097.32,-8.75,0.0,2.77,INV,0,0
RAW,O2,2x,2024-01-31,42580.0,46377.08,8.92,-17.84,3.8,SL,9,-1.0
RAW,O2,2x,2024-01-31,42580.0,45559.44,7.0,-13.99,3.8,SL,8,-1.0
RAW,O2,2x,2024-03-30,69582.18,67705.3,-2.7,0.0,4.44,INV,0,0
RAW,O2,2x,2024-03-30,69582.18,77482.3,11.35,-22.71,4.44,TP,97,2.0
RAW,O2,2x,2024-03-30,69582.18,75474.84,8.47,-16.94,4.44,TP,32,2.0
RAW,O2,2x,2024-04-25,64498.34,71607.32,11.02,-22.04,5.04,SL,26,-1.0
RAW,O2,2x,2024-04-25,64498.34,71607.32,11.02,-22.04,5.04,SL,26,-1.0
RAW,O2,2x,2024-05-08,61193.03,68119.94,11.32,-22.64,5.0,SL,12,-1.0
RAW,O2,2x,2024-05-22,69166.62,74629.28,7.9,-15.8,4.14,TP,43,2.0
RAW,O2,2x,2024-06-08,69310.46,73713.84,6.35,-12.71,3.57,TP,16,2.0
RAW,O2,2x,2024-07-03,60208.58,65808.77,9.3,-18.6,3.57,SL,14,-1.0
RAW,O2,2x,2024-07-03,60208.58,65808.77,9.3,-18.6,3.57,SL,14,-1.0
RAW,O2,2x,2024-07-18,63987.92,71621.23,11.93,-23.86,3.72,SL,103,-1.0
RAW,O2,2x,2024-08-14,58683.39,66349.32,13.06,-26.13,4.98,SL,44,-1.0
RAW,O2,2x,2024-09-16,58213.99,62861.31,7.98,-15.97,4.25,SL,3,-1.0
RAW,O2,2x,2024-10-21,67377.5,68237.97,1.28,-2.55,3.16,TP,2,2.0
RAW,O2,2x,2024-10-21,67377.5,66218.16,-1.72,0.0,3.16,INV,0,0
RAW,O2,2x,2024-10-21,67377.5,71259.49,5.76,-11.52,3.16,SL,8,-1.0
RAW,O2,2x,2024-12-28,95300.0,77676.66,-18.49,0.0,4.0,INV,0,0
RAW,O2,2x,2024-12-28,95300.0,97322.18,2.12,-4.24,4.0,SL,5,-1.0
RAW,O2,2x,2024-12-28,95300.0,102676.53,7.74,-15.48,4.0,SL,10,-1.0
RAW,O2,2x,2024-12-28,95300.0,112409.54,17.95,-35.91,4.0,SL,194,-1.0
RAW,O2,2x,2024-12-28,95300.0,112409.54,17.95,-35.91,4.0,SL,194,-1.0
RAW,O2,2x,2024-12-28,95300.0,104020.24,9.15,-18.3,4.0,SL,20,-1.0
RAW,O2,2x,2025-01-07,96954.61,105552.88,8.87,-17.74,3.78,SL,10,-1.0
RAW,O2,2x,2025-01-19,101331.57,113975.18,12.48,-24.95,3.76,TP,78,2.0
RAW,O2,2x,2025-01-19,101331.57,113975.18,12.48,-24.95,3.76,TP,78,2.0
RAW,O2,2x,2025-02-17,95780.0,102535.53,7.05,-14.11,3.86,TP,9,2.0
RAW,O2,2x,2025-03-21,84088.79,88235.35,4.93,-9.86,4.95,SL,3,-1.0
RAW,O2,2x,2025-04-16,84030.38,90040.35,7.15,-14.3,4.6,SL,6,-1.0
RAW,O2,2x,2025-06-12,105671.73,100678.16,-4.73,0.0,2.83,INV,0,0
RAW,O2,2x,2025-06-12,105671.73,108601.93,2.77,-5.55,2.83,SL,4,-1.0
RAW,O2,2x,2025-06-12,105671.73,113312.65,7.23,-14.46,2.83,SL,28,-1.0
RAW,O2,2x,2025-06-30,107146.5,113691.88,6.11,-12.22,2.64,SL,10,-1.0
RAW,O2,2x,2025-07-30,117840.3,126183.63,7.08,-14.16,2.39,SL,68,-1.0
RAW,O2,2x,2025-07-30,117840.3,123213.43,4.56,-9.12,2.39,SL,14,-1.0
RAW,O2,2x,2025-08-12,120134.08,127239.55,5.91,-11.83,2.29,TP,59,2.0
RAW,O2,2x,2025-09-06,110187.97,116951.77,6.14,-12.28,2.64,SL,10,-1.0
RAW,O2,2x,2025-10-06,124658.54,128744.5,3.28,-6.56,2.14,TP,4,2.0
RAW,O2,2x,2025-10-29,110021.29,117911.74,7.17,-14.34,3.22,TP,16,2.0
RAW,O2,2x,2025-10-29,110021.29,117911.74,7.17,-14.34,3.22,TP,16,2.0
RAW,O2,2x,2025-11-12,101654.37,112026.03,10.2,-20.41,3.69,TP,9,2.0
RAW,O2,2x,2025-11-30,90360.0,96931.35,7.27,-14.54,4.11,SL,45,-1.0
RAW,O2,2x,2025-12-24,87669.45,93963.4,7.18,-14.36,3.95,SL,12,-1.0
RAW,O2,2x,2026-01-07,91364.16,92450.88,1.19,-2.38,3.27,SL,5,-1.0
RAW,O2,2x,2026-02-12,66272.17,75543.06,13.99,-27.98,5.58,SL,33,-1.0
RAW,O2,2x,2026-03-18,71246.54,76844.12,7.86,-15.71,4.5,SL,30,-1.0
RAW,O2,2x,2026-03-18,71246.54,78794.12,10.59,-21.19,4.5,SL,35,-1.0
RAW,O2,2x,2026-03-27,66407.28,74169.65,11.69,-23.38,4.66,SL,17,-1.0
RAW,O2,2x,2026-04-12,70740.98,71628.86,1.26,-2.51,3.87,SL,1,-1.0
RAW,O2,2x,2026-04-12,70740.98,80651.86,14.01,-28.02,3.87,SL,22,-1.0
RAW,O2,2x,2026-05-07,80006.0,84586.18,5.72,-11.45,3.01,TP,25,2.0
RAW,O2,2x,2026-05-27,74449.3,80444.67,8.05,-16.11,2.92,TP,8,2.0
RAW,O2,2x,2026-06-17,64509.4,69959.99,8.45,-16.9,3.57,EXP,22,0.514
RAW,O2,2x,2026-07-08,62290.0,67461.4,8.3,-16.6,3.6,EXP,1,0.113
RAW,O2,2x,2026-07-08,62290.0,67461.4,8.3,-16.6,3.6,EXP,1,0.113
