mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O1,1x,2019-03-11,3871.61,4258.77,10.0,-10.0,3.19,SL,22,-1.0
RAW,O1,1x,2019-04-24,5415.0,5956.5,10.0,-10.0,3.06,SL,13,-1.0
RAW,O1,1x,2019-04-24,5415.0,5956.5,10.0,-10.0,3.06,SL,13,-1.0
RAW,O1,1x,2019-04-24,5415.0,5956.5,10.0,-10.0,3.06,SL,13,-1.0
RAW,O1,1x,2019-05-07,5846.34,6430.97,10.0,-10.0,3.12,SL,3,-1.0
RAW,O1,1x,2019-06-18,9081.55,9989.7,10.0,-10.0,4.47,SL,3,-1.0
RAW,O1,1x,2019-06-18,9081.55,9989.7,10.0,-10.0,4.47,SL,3,-1.0
RAW,O1,1x,2019-06-18,9081.55,9989.7,10.0,-10.0,4.47,SL,3,-1.0
RAW,O1,1x,2019-07-11,11342.89,12477.18,10.0,-10.0,6.8,TP,3,1.0
RAW,O1,1x,2019-07-23,9864.91,10851.4,10.0,-10.0,8.36,SL,11,-1.0
RAW,O1,1x,2019-08-06,11481.69,12629.86,10.0,-10.0,6.32,TP,8,1.0
RAW,O1,1x,2019-08-22,10099.88,11109.87,10.0,-10.0,6.65,TP,33,1.0
RAW,O1,1x,2019-09-07,10455.88,11501.47,10.0,-10.0,5.58,TP,17,1.0
RAW,O1,1x,2019-10-05,8126.19,8938.81,10.0,-10.0,5.83,TP,18,1.0
RAW,O1,1x,2019-10-30,9154.72,10070.19,10.0,-10.0,5.45,TP,19,1.0
RAW,O1,1x,2019-12-02,7294.28,8023.71,10.0,-10.0,5.87,TP,15,1.0
RAW,O1,1x,2019-12-10,7224.13,7946.54,10.0,-10.0,5.51,TP,8,1.0
RAW,O1,1x,2019-12-24,7255.77,7981.35,10.0,-10.0,5.05,SL,14,-1.0
RAW,O1,1x,2020-01-09,7817.76,8599.54,10.0,-10.0,4.27,SL,5,-1.0
RAW,O1,1x,2020-02-02,9331.51,10264.66,10.0,-10.0,3.62,SL,9,-1.0
RAW,O1,1x,2020-02-02,9331.51,10264.66,10.0,-10.0,3.62,SL,9,-1.0
RAW,O1,1x,2020-03-08,8033.31,8836.64,10.0,-10.0,4.85,TP,4,1.0
RAW,O1,1x,2020-03-27,6359.11,6995.02,10.0,-10.0,9.51,SL,6,-1.0
RAW,O1,1x,2020-04-21,6841.37,7525.51,10.0,-10.0,6.83,SL,2,-1.0
RAW,O1,1x,2020-06-02,9518.04,10469.84,10.0,-10.0,5.45,SL,55,-1.0
RAW,O1,1x,2020-06-02,9518.04,10469.84,10.0,-10.0,5.45,SL,55,-1.0
RAW,O1,1x,2020-06-02,9518.04,10469.84,10.0,-10.0,5.45,SL,55,-1.0
RAW,O1,1x,2020-06-02,9518.04,10469.84,10.0,-10.0,5.45,SL,55,-1.0
RAW,O1,1x,2020-07-04,9135.46,10049.01,10.0,-10.0,3.92,SL,22,-1.0
RAW,O1,1x,2020-07-27,11029.96,12132.96,10.0,-10.0,2.88,SL,21,-1.0
RAW,O1,1x,2020-07-27,11029.96,12132.96,10.0,-10.0,2.88,SL,21,-1.0
RAW,O1,1x,2020-07-27,11029.96,12132.96,10.0,-10.0,2.88,SL,21,-1.0
RAW,O1,1x,2020-09-02,11388.54,12527.39,10.0,-10.0,3.56,TP,1,1.0
RAW,O1,1x,2020-09-02,11388.54,12527.39,10.0,-10.0,3.56,TP,1,1.0
RAW,O1,1x,2020-09-02,11388.54,12527.39,10.0,-10.0,3.56,TP,1,1.0
RAW,O1,1x,2020-09-20,10920.28,12012.31,10.0,-10.0,3.86,SL,30,-1.0
RAW,O1,1x,2020-10-01,10619.13,11681.04,10.0,-10.0,3.71,SL,11,-1.0
RAW,O1,1x,2020-12-21,22719.71,24991.68,10.0,-10.0,4.35,SL,5,-1.0
RAW,O1,1x,2020-12-21,22719.71,24991.68,10.0,-10.0,4.35,SL,5,-1.0
RAW,O1,1x,2020-12-21,22719.71,24991.68,10.0,-10.0,4.35,SL,5,-1.0
RAW,O1,1x,2020-12-21,22719.71,24991.68,10.0,-10.0,4.35,SL,5,-1.0
RAW,O1,1x,2021-01-31,33092.98,36402.28,10.0,-10.0,8.49,SL,3,-1.0
RAW,O1,1x,2021-01-31,33092.98,36402.28,10.0,-10.0,8.49,SL,3,-1.0
RAW,O1,1x,2021-03-06,48882.2,53770.42,10.0,-10.0,7.41,SL,3,-1.0
RAW,O1,1x,2021-04-03,57051.94,62757.13,10.0,-10.0,5.94,SL,10,-1.0
RAW,O1,1x,2021-04-03,57051.94,62757.13,10.0,-10.0,5.94,SL,10,-1.0
RAW,O1,1x,2021-05-04,53200.01,58520.01,10.0,-10.0,6.26,SL,3,-1.0
RAW,O1,1x,2021-05-29,34605.15,38065.67,10.0,-10.0,12.49,SL,4,-1.0
RAW,O1,1x,2021-05-29,34605.15,38065.67,10.0,-10.0,12.49,SL,4,-1.0
RAW,O1,1x,2021-06-05,35513.2,39064.52,10.0,-10.0,11.32,TP,3,1.0
RAW,O1,1x,2021-06-16,38349.01,42183.91,10.0,-10.0,9.53,TP,4,1.0
RAW,O1,1x,2021-07-01,33504.69,36855.16,10.0,-10.0,9.91,TP,19,1.0
RAW,O1,1x,2021-07-01,33504.69,36855.16,10.0,-10.0,9.91,TP,19,1.0
RAW,O1,1x,2021-08-01,39845.44,43829.98,10.0,-10.0,6.2,SL,6,-1.0
RAW,O1,1x,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,1x,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,1x,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,1x,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,1x,2021-10-08,53951.43,59346.57,10.0,-10.0,4.86,SL,7,-1.0
RAW,O1,1x,2021-11-04,61395.01,67534.51,10.0,-10.0,4.73,SL,4,-1.0
RAW,O1,1x,2021-12-10,47140.54,51854.59,10.0,-10.0,6.79,SL,17,-1.0
RAW,O1,1x,2021-12-27,50701.44,55771.58,10.0,-10.0,5.43,TP,8,1.0
RAW,O1,1x,2021-12-27,50701.44,55771.58,10.0,-10.0,5.43,TP,8,1.0
RAW,O1,1x,2022-01-17,42201.62,46421.78,10.0,-10.0,5.6,TP,4,1.0
RAW,O1,1x,2022-03-04,39148.66,43063.53,10.0,-10.0,6.26,SL,18,-1.0
RAW,O1,1x,2022-03-04,39148.66,43063.53,10.0,-10.0,6.26,SL,18,-1.0
RAW,O1,1x,2022-03-21,41002.25,45102.48,10.0,-10.0,5.34,SL,6,-1.0
RAW,O1,1x,2022-04-22,39709.18,43680.1,10.0,-10.0,4.75,TP,13,1.0
RAW,O1,1x,2022-04-22,39709.18,43680.1,10.0,-10.0,4.75,TP,13,1.0
RAW,O1,1x,2022-05-18,28715.32,31586.85,10.0,-10.0,7.16,SL,12,-1.0
RAW,O1,1x,2022-06-02,30452.62,33497.88,10.0,-10.0,6.01,TP,10,1.0
RAW,O1,1x,2022-06-09,30109.93,33120.92,10.0,-10.0,5.71,TP,3,1.0
RAW,O1,1x,2022-06-27,20742.56,22816.82,10.0,-10.0,8.4,TP,3,1.0
RAW,O1,1x,2022-07-10,20862.47,22948.72,10.0,-10.0,7.3,SL,9,-1.0
RAW,O1,1x,2022-07-21,23152.19,25467.41,10.0,-10.0,6.28,TP,5,1.0
RAW,O1,1x,2022-08-01,23268.01,25594.81,10.0,-10.0,5.83,TP,18,1.0
RAW,O1,1x,2022-08-15,24094.82,26504.3,10.0,-10.0,4.99,TP,4,1.0
RAW,O1,1x,2022-09-13,20173.57,22190.93,10.0,-10.0,5.27,TP,8,1.0
RAW,O1,1x,2022-10-19,19123.97,21036.37,10.0,-10.0,4.18,SL,10,-1.0
RAW,O1,1x,2022-10-19,19123.97,21036.37,10.0,-10.0,4.18,SL,10,-1.0
RAW,O1,1x,2022-11-20,16280.23,17908.25,10.0,-10.0,5.23,SL,23,-1.0
RAW,O1,1x,2022-11-28,16212.91,17834.2,10.0,-10.0,4.68,SL,15,-1.0
RAW,O1,1x,2022-12-28,16547.31,18202.04,10.0,-10.0,3.15,SL,15,-1.0
RAW,O1,1x,2023-01-17,21134.81,23248.29,10.0,-10.0,2.53,SL,4,-1.0
RAW,O1,1x,2023-02-21,24452.16,26897.38,10.0,-10.0,3.32,TP,10,1.0
RAW,O1,1x,2023-03-22,27250.97,29976.07,10.0,-10.0,4.08,SL,20,-1.0
RAW,O1,1x,2023-05-01,28068.26,30875.09,10.0,-10.0,3.81,TP,44,1.0
RAW,O1,1x,2023-05-19,26880.26,29568.29,10.0,-10.0,3.7,SL,33,-1.0
RAW,O1,1x,2023-05-31,27210.35,29931.38,10.0,-10.0,3.37,SL,21,-1.0
RAW,O1,1x,2023-08-04,29113.99,32025.39,10.0,-10.0,2.61,TP,13,1.0
RAW,O1,1x,2023-08-04,29113.99,32025.39,10.0,-10.0,2.61,TP,13,1.0
RAW,O1,1x,2023-10-03,27426.46,30169.11,10.0,-10.0,2.5,SL,17,-1.0
RAW,O1,1x,2023-10-03,27426.46,30169.11,10.0,-10.0,2.5,SL,17,-1.0
RAW,O1,1x,2023-10-28,34081.0,37489.1,10.0,-10.0,2.77,SL,12,-1.0
RAW,O1,1x,2024-01-31,42580.0,46838.0,10.0,-10.0,3.8,SL,9,-1.0
RAW,O1,1x,2024-01-31,42580.0,46838.0,10.0,-10.0,3.8,SL,9,-1.0
RAW,O1,1x,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,1x,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,1x,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,1x,2024-04-25,64498.34,70948.17,10.0,-10.0,5.04,TP,6,1.0
RAW,O1,1x,2024-04-25,64498.34,70948.17,10.0,-10.0,5.04,TP,6,1.0
RAW,O1,1x,2024-05-08,61193.03,67312.33,10.0,-10.0,5.0,SL,9,-1.0
RAW,O1,1x,2024-05-22,69166.62,76083.28,10.0,-10.0,4.14,TP,33,1.0
RAW,O1,1x,2024-06-08,69310.46,76241.51,10.0,-10.0,3.57,TP,16,1.0
RAW,O1,1x,2024-07-03,60208.58,66229.44,10.0,-10.0,3.57,TP,2,1.0
RAW,O1,1x,2024-07-03,60208.58,66229.44,10.0,-10.0,3.57,TP,2,1.0
RAW,O1,1x,2024-07-18,63987.92,70386.71,10.0,-10.0,3.72,TP,17,1.0
RAW,O1,1x,2024-08-14,58683.39,64551.73,10.0,-10.0,4.98,SL,9,-1.0
RAW,O1,1x,2024-09-16,58213.99,64035.39,10.0,-10.0,4.25,SL,4,-1.0
RAW,O1,1x,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,1x,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,1x,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2025-01-07,96954.61,106650.07,10.0,-10.0,3.78,SL,13,-1.0
RAW,O1,1x,2025-01-19,101331.57,111464.73,10.0,-10.0,3.76,TP,37,1.0
RAW,O1,1x,2025-01-19,101331.57,111464.73,10.0,-10.0,3.76,TP,37,1.0
RAW,O1,1x,2025-02-17,95780.0,105358.0,10.0,-10.0,3.86,TP,8,1.0
RAW,O1,1x,2025-03-21,84088.79,92497.67,10.0,-10.0,4.95,TP,17,1.0
RAW,O1,1x,2025-04-16,84030.38,92433.42,10.0,-10.0,4.6,SL,6,-1.0
RAW,O1,1x,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,1x,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,1x,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,1x,2025-06-30,107146.5,117861.15,10.0,-10.0,2.64,SL,11,-1.0
RAW,O1,1x,2025-07-30,117840.3,129624.33,10.0,-10.0,2.39,TP,72,1.0
RAW,O1,1x,2025-07-30,117840.3,129624.33,10.0,-10.0,2.39,TP,72,1.0
RAW,O1,1x,2025-08-12,120134.08,132147.49,10.0,-10.0,2.29,TP,17,1.0
RAW,O1,1x,2025-09-06,110187.97,121206.77,10.0,-10.0,2.64,SL,27,-1.0
RAW,O1,1x,2025-10-06,124658.54,137124.39,10.0,-10.0,2.14,TP,4,1.0
RAW,O1,1x,2025-10-29,110021.29,121023.42,10.0,-10.0,3.22,TP,6,1.0
RAW,O1,1x,2025-10-29,110021.29,121023.42,10.0,-10.0,3.22,TP,6,1.0
RAW,O1,1x,2025-11-12,101654.37,111819.81,10.0,-10.0,3.69,TP,5,1.0
RAW,O1,1x,2025-11-30,90360.0,99396.0,10.0,-10.0,4.11,TP,61,1.0
